"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"8953062","GCAM_EMF33","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-78.6955815635901
"8953114","GCAM_EMF33","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"8954162","GCAM_EMF33","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-297.763475243805
"8954214","GCAM_EMF33","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,12.749792231708
"8954720","GCAM_EMF33","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-162.621445395615
"8954772","GCAM_EMF33","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,2.5847871119
"8954813","GCAM_EMF33","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-144.339214738368
"8954865","GCAM_EMF33","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,6.15982283886
"8954906","GCAM_EMF33","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,30.4255113054091
"8954958","GCAM_EMF33","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,23.6674852248801
"8954999","GCAM_EMF33","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-24.4028845166612
"8955051","GCAM_EMF33","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,2.8265343709
"8959999","GCAM_EMF33","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-143.591696207476
"8960051","GCAM_EMF33","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,32.216328795828
"8960557","GCAM_EMF33","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-133.130378156529
"8960609","GCAM_EMF33","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,6.58391545856
"8960650","GCAM_EMF33","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-119.108828154195
"8960702","GCAM_EMF33","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,14.19893773928
"8960743","GCAM_EMF33","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,196.372266762357
"8960795","GCAM_EMF33","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,53.07118616868
"8960836","GCAM_EMF33","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,10.9800523352832
"8960888","GCAM_EMF33","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,7.2994514964
"8965836","GCAM_EMF33","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,53.5475398419916
"8965888","GCAM_EMF33","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,49.96152719865
"8966394","GCAM_EMF33","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-79.9748379100332
"8966446","GCAM_EMF33","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,10.21046142767
"8966487","GCAM_EMF33","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-76.8548857060302
"8966539","GCAM_EMF33","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,20.70992981011
"8966580","GCAM_EMF33","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,451.079181649265
"8966632","GCAM_EMF33","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,79.530322138264
"8966673","GCAM_EMF33","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,50.6402821975868
"8966725","GCAM_EMF33","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,11.417480574
"8975573","GCAM_EMF33","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-77.5949044675322
"8975625","GCAM_EMF33","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,45.64252388311
"8976131","GCAM_EMF33","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,96.9453132417916
"8976183","GCAM_EMF33","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,9.2839565175
"8976224","GCAM_EMF33","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-93.0110223677044
"8976276","GCAM_EMF33","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,16.4796960091
"8976317","GCAM_EMF33","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,347.694721812448
"8976369","GCAM_EMF33","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,84.193906571482
"8976410","GCAM_EMF33","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-185.769377213848
"8976462","GCAM_EMF33","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,14.229076407
"8977510","GCAM_EMF33","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,469.477706045552
"8977562","GCAM_EMF33","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,72.79476257688
"8978068","GCAM_EMF33","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,52.3182005759085
"8978120","GCAM_EMF33","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,14.9899280837
"8978161","GCAM_EMF33","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,33.8282512159391
"8978213","GCAM_EMF33","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,28.63894121534
"8978254","GCAM_EMF33","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,1001.27540896816
"8978306","GCAM_EMF33","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,114.71535618938
"8978347","GCAM_EMF33","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,139.359058858618
"8978399","GCAM_EMF33","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,16.785175582
"8983088","GLOBIOM","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-511.682929571648
"8983150","GLOBIOM","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1210.59066090596
"8983168","GLOBIOM","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,404.191254602401
"8983182","GLOBIOM","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-262.636453050303
"8983198","GLOBIOM","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-90.179623936874
"8985079","GLOBIOM","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-516.487343048814
"8985141","GLOBIOM","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1213.80003916805
"8985159","GLOBIOM","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,379.32420794173
"8985173","GLOBIOM","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-252.760005981745
"8985189","GLOBIOM","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-93.2991953440274
"8985766","GLOBIOM","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-499.946440960963
"8985774","GLOBIOM","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,13.3705090922338
"8985846","GLOBIOM","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1236.95374206663
"8985854","GLOBIOM","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,20.8722472706641
"8985867","GLOBIOM","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,632.670853855453
"8985873","GLOBIOM","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,12.9212415009017
"8985886","GLOBIOM","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-224.245124288413
"8985903","GLOBIOM","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-2.66417287537895
"8985911","GLOBIOM","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.0864772040381736
"8987244","GLOBIOM","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-470.347280417792
"8987252","GLOBIOM","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,33.1410343874415
"8987326","GLOBIOM","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1248.30107710342
"8987334","GLOBIOM","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,33.5702501655413
"8987347","GLOBIOM","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,1132.92912718228
"8987353","GLOBIOM","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,17.8177824874736
"8987366","GLOBIOM","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-61.2501813602791
"8987374","GLOBIOM","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,1.9986750848428
"8987387","GLOBIOM","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,73.6212012349752
"8987395","GLOBIOM","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,1.59924918274418
"8994384","GLOBIOM","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-264.938500332934
"8994392","GLOBIOM","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,38.3225214453584
"8994466","GLOBIOM","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1553.28899796254
"8994474","GLOBIOM","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,41.2700409032584
"8994487","GLOBIOM","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,1440.71576473402
"8994493","GLOBIOM","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,18.6108676772409
"8994506","GLOBIOM","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,181.766305623904
"8994514","GLOBIOM","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,12.0437799612728
"8994527","GLOBIOM","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,236.654981798239
"8994535","GLOBIOM","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,3.4381184405689
"8996645","GLOBIOM","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-270.750916759746
"8996653","GLOBIOM","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,38.235784581008
"8996727","GLOBIOM","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1545.08135359485
"8996735","GLOBIOM","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,41.4584398710393
"8996748","GLOBIOM","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,1399.51133413388
"8996754","GLOBIOM","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,18.3693466681781
"8996767","GLOBIOM","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,179.029837508307
"8996775","GLOBIOM","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,12.3103795470906
"8996788","GLOBIOM","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,250.414180894195
"8996796","GLOBIOM","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,3.49632294052914
"8997392","GLOBIOM","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-329.540241757748
"8997400","GLOBIOM","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,42.0645771537018
"8997474","GLOBIOM","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1274.30254335528
"8997482","GLOBIOM","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,48.9883422245378
"8997495","GLOBIOM","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,1394.47497098966
"8997501","GLOBIOM","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,20.6957447223948
"8997514","GLOBIOM","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,611.466112528394
"8997522","GLOBIOM","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,22.3918710940894
"8997535","GLOBIOM","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,660.995652011947
"8997543","GLOBIOM","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,6.8279752069847
"9021939","GRAPE-15","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,146.19
"9021954","GRAPE-15","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,1.64
"9022095","GRAPE-15","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9022110","GRAPE-15","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9022121","GRAPE-15","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,726.28
"9022136","GRAPE-15","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9022147","GRAPE-15","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,52.64
"9022162","GRAPE-15","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9022173","GRAPE-15","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-69.59
"9022188","GRAPE-15","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9026359","GRAPE-15","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,114.91
"9026374","GRAPE-15","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,1.76
"9026515","GRAPE-15","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9026530","GRAPE-15","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9026541","GRAPE-15","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,655.23
"9026556","GRAPE-15","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9026567","GRAPE-15","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,52.43
"9026582","GRAPE-15","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9026593","GRAPE-15","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-69.89
"9026608","GRAPE-15","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9027243","GRAPE-15","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,48.97
"9027258","GRAPE-15","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,17.17
"9027399","GRAPE-15","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9027414","GRAPE-15","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9027425","GRAPE-15","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,874.82
"9027440","GRAPE-15","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,16.17
"9027451","GRAPE-15","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,52.72
"9027466","GRAPE-15","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.02
"9027477","GRAPE-15","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-63.09
"9027492","GRAPE-15","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9029895","GRAPE-15","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,-79.36
"9029910","GRAPE-15","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,34.11
"9030051","GRAPE-15","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9030066","GRAPE-15","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.01
"9030077","GRAPE-15","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,1223.12
"9030092","GRAPE-15","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,55.19
"9030103","GRAPE-15","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,52.79
"9030118","GRAPE-15","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.02
"9030129","GRAPE-15","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-75.46
"9030144","GRAPE-15","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.21
"9037851","GRAPE-15","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,0
"9037866","GRAPE-15","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,71.71
"9038007","GRAPE-15","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9038022","GRAPE-15","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.01
"9038033","GRAPE-15","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,0
"9038048","GRAPE-15","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,80.59
"9038059","GRAPE-15","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,51.53
"9038074","GRAPE-15","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.02
"9038085","GRAPE-15","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-101.54
"9038100","GRAPE-15","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.55
"9046691","GRAPE-15","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,10.71
"9046706","GRAPE-15","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,71.62
"9046847","GRAPE-15","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9046862","GRAPE-15","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.01
"9046873","GRAPE-15","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,0
"9046888","GRAPE-15","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,80.66
"9046899","GRAPE-15","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,51.5
"9046914","GRAPE-15","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.02
"9046925","GRAPE-15","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-101.22
"9046940","GRAPE-15","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.56
"9048459","GRAPE-15","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,412.06
"9048474","GRAPE-15","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,116.14
"9048615","GRAPE-15","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,-19.75
"9048630","GRAPE-15","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.26
"9048641","GRAPE-15","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,0
"9048656","GRAPE-15","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,82.37
"9048667","GRAPE-15","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,51.77
"9048682","GRAPE-15","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.02
"9048693","GRAPE-15","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-132.95
"9048708","GRAPE-15","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,8.47
"9051319","IMAGE","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,171.868646378405
"9051330","IMAGE","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9051487","IMAGE","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,501.782650360457
"9051498","IMAGE","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9051515","IMAGE","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,852.131554203894
"9051526","IMAGE","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9051543","IMAGE","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-38.3439163467882
"9051554","IMAGE","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9051571","IMAGE","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-67.3657988184468
"9051582","IMAGE","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9056909","IMAGE","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,180.33473015436
"9056920","IMAGE","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9057077","IMAGE","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,526.943209637295
"9057088","IMAGE","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9057105","IMAGE","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,719.282320677317
"9057116","IMAGE","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9057133","IMAGE","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-30.459533582587
"9057144","IMAGE","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9057161","IMAGE","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-66.7253414765397
"9057172","IMAGE","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9058027","IMAGE","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,159.259555409433
"9058038","IMAGE","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9058195","IMAGE","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1594.5756435767
"9058206","IMAGE","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,51.609111296
"9058223","IMAGE","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,506.377215892944
"9058234","IMAGE","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9058251","IMAGE","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-51.1880841248446
"9058262","IMAGE","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9058279","IMAGE","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-69.5319668503502
"9058290","IMAGE","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.04667482
"9061381","IMAGE","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,156.690142881753
"9061392","IMAGE","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0
"9061549","IMAGE","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,3837.85398292469
"9061560","IMAGE","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,127.01691904
"9061577","IMAGE","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,257.787036287011
"9061588","IMAGE","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.656896592
"9061605","IMAGE","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-74.2685390588375
"9061616","IMAGE","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.1245316
"9061633","IMAGE","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-80.1787647835429
"9061644","IMAGE","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.344216512
"9074797","IMAGE","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,773.22212227844
"9074808","IMAGE","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,10.659956736
"9074965","IMAGE","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,2665.68648840971
"9074976","IMAGE","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,157.096226816
"9074993","IMAGE","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,334.402451289511
"9075004","IMAGE","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,26.845164992
"9075021","IMAGE","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,-55.9949127643783
"9075032","IMAGE","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,0.331439616
"9075049","IMAGE","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-18.7879832365001
"9075060","IMAGE","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,6.336537088
"9089331","IMAGE","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,299.314539892222
"9089342","IMAGE","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,30.666504848
"9089499","IMAGE","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,498.528412977821
"9089510","IMAGE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,40.01456896
"9089527","IMAGE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,571.237742814524
"9089538","IMAGE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,57.704068151
"9089555","IMAGE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2080,76.4808111150133
"9089566","IMAGE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,27.460207968
"9089583","IMAGE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2080,-37.3264120182789
"9089594","IMAGE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,8.153732096
"9091567","IMAGE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2080,3936.0846913665
"9091578","IMAGE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,48.197449728
"9091735","IMAGE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2080,1438.19527707092
"9091746","IMAGE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2080,165.216196768
"9091763","IMAGE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2080,273.244423119234
