"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1082378","IMAGE","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1083233","IMAGE","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1083244","IMAGE","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1083401","IMAGE","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1083412","IMAGE","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1083429","IMAGE","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1083440","IMAGE","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1083457","IMAGE","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1083468","IMAGE","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1083485","IMAGE","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1083496","IMAGE","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1086587","IMAGE","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1086598","IMAGE","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1086755","IMAGE","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1086766","IMAGE","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1086783","IMAGE","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1086794","IMAGE","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1086811","IMAGE","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1086822","IMAGE","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1086839","IMAGE","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1086850","IMAGE","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1100003","IMAGE","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1100014","IMAGE","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1100171","IMAGE","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1100182","IMAGE","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1100199","IMAGE","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1100210","IMAGE","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1100227","IMAGE","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1100238","IMAGE","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1100255","IMAGE","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1100266","IMAGE","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1114537","IMAGE","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1114548","IMAGE","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1114705","IMAGE","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1114716","IMAGE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1114733","IMAGE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1114744","IMAGE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1114761","IMAGE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1114772","IMAGE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1114789","IMAGE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1114800","IMAGE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1116773","IMAGE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1116784","IMAGE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1116941","IMAGE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1116952","IMAGE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1116969","IMAGE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1116980","IMAGE","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
